Name,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,h-adjusted,h-leaderhip-adjusted,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
"Dai, Liming",1134,109713,20.0,165,52,0.2,159,93.99470899470899,90.57671957671957,15.608465608465607,37.91887125220458,3.439153439153439,4.0,704,5.6005291005291005,5.0
"Green, Martin A.",952,76373,18.0,127,40,0.08333333333333333,123,125.39915966386553,121.44957983193277,29.096638655462186,55.67226890756303,13.970588235294118,3.0,601,5.1155462184873945,4.0
"Fane, A. G.(Tony)",586,47733,44.0,119,27,0.16666666666666666,116,72.69965870307168,70.86689419795222,8.19112627986348,50.170648464163826,2.7303754266211606,3.0,469,4.385665529010239,4.0
"Christensen, Helen M.",588,51495,36.0,117,19,0.14285714285714285,111,60.09183673469387,57.010204081632644,16.49659863945578,33.33333333333333,1.530612244897959,4.0,470,7.04421768707483,6.0
"Bryant, Richard A.",833,46780,24.0,113,25,0.2,110,78.27250900360146,76.19447779111646,26.05042016806723,35.294117647058826,7.923169267707082,3.0,589,8.62064825930372,6.0
"Degenhardt, Louisa J.",776,172054,25.0,132,20,0.09090909090909091,109,58.175257731958766,48.03865979381444,16.108247422680414,27.448453608247426,0.5154639175257731,4.0,574,17.766752577319586,8.0
"Sachdev, Perminder S.",975,93303,24.0,120,11,0.16666666666666666,101,89.47692307692309,75.30974358974359,22.564102564102566,40.41025641025641,11.58974358974359,4.0,701,14.864615384615385,6.0
"Brodaty, Henry",843,47983,20.0,104,6,0.5,96,47.2502965599051,43.61565836298932,13.87900355871886,29.537366548042705,2.0166073546856467,5.0,566,12.782918149466193,7.0
"Andrews, Gavin A.",435,40096,34.0,95,7,0.5,91,95.6551724137931,91.62758620689655,38.62068965517241,48.275862068965516,13.793103448275861,2.0,327,5.685057471264368,3.0
"Santamouris, Mat J.",561,31298,19.0,93,33,0.125,89,78.90909090909092,75.51515151515152,23.885918003565063,50.623885918003566,10.338680926916222,2.0,364,4.807486631016043,4.0
"Friedlander, M. L.",512,42365,23.0,90,21,0.14285714285714285,85,32.16796875,30.380859375,11.5234375,21.875,2.34375,5.0,362,19.361328125,10.0
"Parker, Gordon B.",875,32173,12.0,85,27,1.0,84,104.33142857142857,103.104,60.11428571428571,40.34285714285714,22.285714285714285,1.0,488,4.177142857142857,3.0
"Mitchell, Philip B.",610,84031,24.0,104,11,0.01,83,52.34098360655737,41.772131147540975,19.01639344262295,23.770491803278688,7.540983606557377,4.0,410,18.931147540983606,6.0
"Marks, Guy B.",528,68547,17.5,85,11,0.125,76,38.15340909090909,34.11363636363636,11.363636363636363,30.113636363636363,3.4090909090909087,5.0,321,15.204545454545455,7.0
"Lupton, Deborah A.",255,14076,25.0,63,37,0.3333333333333333,63,129.45882352941177,129.45882352941177,77.25490196078432,72.15686274509804,56.07843137254902,1.0,183,1.815686274509804,1.0
"Church, John A.",178,15358,36.5,60,6,0.5,60,29.662921348314605,29.662921348314605,23.03370786516854,22.47191011235955,3.932584269662921,3.0,140,7.286516853932584,4.0
"Pesudovs, Konrad",329,110832,29.0,80,17,0.01,59,44.98480243161093,33.17629179331306,16.717325227963524,35.25835866261398,4.25531914893617,3.0,235,21.790273556231003,5.0
"Schutte, Aletta E.",487,99095,10.0,70,18,0.01,41,29.75359342915811,17.427104722792606,12.114989733059549,28.131416837782343,2.2587268993839835,4.0,252,22.562628336755647,7.0
"Hamann, Jan",55,27894,48.0,34,7,0.2,32,15.454545454545457,14.545454545454547,38.18181818181819,5.454545454545454,1.8181818181818181,2.0,44,33.58181818181818,5.0
"Boufous, Soufiane",133,89307,25.0,45,16,0.16666666666666666,32,14.210526315789473,10.105263157894736,22.55639097744361,9.022556390977442,0.0,3.0,98,32.045112781954884,7.0
